                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     88,                 1.0738,                0.76207,                0.90887,                0.99921,             0.00055945
                     89,                 1.0589,                0.74489,                0.91363,                      1,              0.0005545
                     90,                 1.0369,                0.74229,                0.91363,                0.99921,             0.00054955
                     91,                 1.0462,                0.69212,                0.93265,                      1,              0.0005446
                     92,                 1.0377,                0.64169,                 0.9691,                      1,             0.00053965
                     93,                 0.9847,                0.63203,                0.96593,                      1,              0.0005347
                     94,                 1.0313,                 0.7058,                0.93423,                      1,             0.00052975
                     95,                 1.0054,                0.61864,                0.98336,                      1,              0.0005248
                     96,                  0.978,                0.62645,                0.97544,                      1,             0.00051985
                     97,                0.99568,                0.63209,                0.96593,                      1,              0.0005149
                     98,                0.98913,                0.67895,                0.94453,                0.99921,             0.00050995
                     99,                0.99876,                0.62918,                0.97385,                      1,               0.000505
                    100,                 1.0164,                 0.6478,                0.96513,                      1,             0.00050005
                    101,                 1.0444,                 0.6578,                0.96276,                      1,              0.0004951
                    102,                 1.0031,                0.67758,                0.94849,                      1,             0.00049015
                    103,                0.99145,                0.61136,                0.97861,                      1,              0.0004852
                    104,                0.98618,                0.62761,                0.96593,                      1,             0.00048025
                    105,                0.95685,                0.60564,                0.98415,                      1,              0.0004753
                    106,                0.97061,                 0.6275,                0.97068,                      1,             0.00047035
                    107,                0.97171,                0.60772,                0.98177,                      1,              0.0004654
                    108,                0.95549,                 0.6092,                 0.9794,                      1,             0.00046045
                    109,                0.95558,                 0.6012,                0.98494,                      1,              0.0004555
                    110,                0.98255,                0.58736,                0.99208,                      1,             0.00045055
                    111,                0.93109,                0.59785,                0.98415,                      1,              0.0004456
                    112,                0.93795,                  0.591,                0.98574,                      1,             0.00044065
                    113,                0.94636,                0.58623,                0.99128,                      1,              0.0004357
                    114,                0.92215,                0.62015,                 0.9691,                      1,             0.00043075
                    115,                0.94732,                0.58976,                0.98891,                      1,              0.0004258
                    116,                0.92173,                0.59621,                0.98177,                      1,             0.00042085
                    117,                0.93999,                0.62134,                0.97544,                      1,              0.0004159
                    118,                0.93198,                0.61705,                0.96593,                      1,             0.00041095
                    119,                0.93721,                0.60806,                0.97781,                      1,               0.000406
                    120,                0.94848,                0.60992,                0.98098,                      1,             0.00040105
                    121,                0.94618,                0.59603,                0.98732,                      1,              0.0003961
                    122,                0.94031,                0.59545,                0.98336,                      1,             0.00039115
                    123,                0.91002,                0.60616,                0.98336,                      1,              0.0003862
                    124,                0.89664,                0.57486,                0.99287,                      1,             0.00038125
                    125,                 0.8706,                0.57413,                0.99366,                      1,              0.0003763
                    126,                0.86813,                0.57317,                0.99128,                      1,             0.00037135
                    127,                0.90388,                0.58187,                 0.9897,                      1,              0.0003664
                    128,                0.89457,                0.57903,                0.98811,                      1,             0.00036145
                    129,                0.87832,                0.57628,                0.99128,                      1,              0.0003565
                    130,                0.90915,                0.58056,                 0.9897,                      1,             0.00035155
                    131,                0.87272,                 0.5828,                 0.9897,                      1,              0.0003466
                    132,                0.88856,                0.58126,                0.99049,                      1,             0.00034165
                    133,                 0.9071,                0.58764,                0.98574,                      1,              0.0003367
                    134,                0.90378,                0.56395,                0.99683,                      1,             0.00033175
                    135,                0.87901,                0.56269,                0.99604,                      1,              0.0003268
                    136,                0.86346,                0.57384,                0.99287,                      1,             0.00032185
                    137,                0.92152,                0.57078,                0.99208,                      1,              0.0003169
                    138,                0.86633,                0.57051,                0.99049,                      1,             0.00031195
                    139,                0.86113,                0.56772,                0.99287,                      1,               0.000307
                    140,                0.86954,                0.59708,                0.98336,                      1,             0.00030205
                    141,                0.85216,                0.57737,                0.99208,                      1,              0.0002971
                    142,                0.85032,                0.56304,                0.99762,                      1,             0.00029215
                    143,                0.89218,                0.56953,                0.99128,                      1,              0.0002872
                    144,                0.88085,                0.56216,                0.99525,                      1,             0.00028225
                    145,                0.86485,                0.56394,                0.99683,                      1,              0.0002773
                    146,                0.84793,                0.55634,                0.99683,                      1,             0.00027235
                    147,                0.86118,                0.56162,                0.99525,                      1,              0.0002674
