                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     88,                0.86262,                0.59098,                0.98855,                0.99842,              0.0007063
                     89,                0.86262,                0.60972,                0.97275,                0.99882,               0.000703
                     90,                0.87531,                0.59598,                0.98065,                0.99961,              0.0006997
                     91,                0.87155,                0.58742,                0.98144,                0.99842,              0.0006964
                     92,                 0.8633,                0.59856,                0.98025,                0.99842,              0.0006931
                     93,                0.85824,                0.57426,                0.98657,                      1,              0.0006898
                     94,                0.86461,                0.61267,                0.97275,                0.99842,              0.0006865
                     95,                0.83752,                0.56924,                0.98776,                0.99961,              0.0006832
                     96,                0.83979,                0.59145,                0.97788,                0.99842,              0.0006799
                     97,                0.83622,                0.57676,                0.98499,                0.99882,              0.0006766
                     98,                0.84478,                0.57231,                0.98776,                0.99921,              0.0006733
                     99,                0.84164,                0.58179,                0.98697,                0.99882,                0.00067
                    100,                 0.8517,                0.59407,                0.97788,                0.99842,              0.0006667
                    101,                 0.8403,                0.57246,                0.99013,                0.99882,              0.0006634
                    102,                0.85227,                0.57316,                0.98815,                0.99842,              0.0006601
                    103,                0.86711,                0.57174,                0.98815,                0.99921,              0.0006568
                    104,                0.81932,                0.56039,                0.99171,                0.99921,              0.0006535
                    105,                0.82041,                0.57429,                 0.9846,                0.99842,              0.0006502
                    106,                0.82728,                0.56878,                0.99171,                0.99921,              0.0006469
                    107,                0.84951,                0.59898,                0.97709,                0.99882,              0.0006436
                    108,                0.85079,                0.58728,                0.98065,                0.99882,              0.0006403
                    109,                0.82968,                0.55892,                0.99447,                0.99882,               0.000637
                    110,                0.81662,                0.57338,                0.98776,                0.99842,              0.0006337
                    111,                0.81408,                0.57297,                0.98618,                0.99961,              0.0006304
                    112,                0.83721,                0.56589,                 0.9921,                0.99842,              0.0006271
                    113,                0.84982,                0.55578,                0.99368,                0.99961,              0.0006238
                    114,                0.83142,                0.56088,                0.99329,                0.99842,              0.0006205
                    115,                0.83285,                0.58116,                 0.9842,                      1,              0.0006172
                    116,                 0.8315,                0.58334,                 0.9842,                      1,              0.0006139
                    117,                0.84595,                0.58191,                0.98223,                0.99842,              0.0006106
                    118,                0.82463,                0.56829,                0.98973,                0.99842,              0.0006073
                    119,                0.83221,                0.56366,                0.99013,                0.99842,               0.000604
                    120,                0.81428,                0.55429,                0.99368,                0.99882,              0.0006007
                    121,                0.77739,                0.55517,                0.99131,                0.99961,              0.0005974
                    122,                0.80515,                0.55596,                0.99329,                0.99921,              0.0005941
                    123,                0.81135,                0.55863,                 0.9921,                0.99882,              0.0005908
                    124,                0.80364,                 0.5656,                0.99013,                0.99961,              0.0005875
                    125,                0.79885,                0.55412,                0.99329,                0.99961,              0.0005842
                    126,                0.80383,                 0.5613,                0.98934,                0.99882,              0.0005809
                    127,                0.80769,                0.56994,                0.98934,                0.99842,              0.0005776
                    128,                0.84409,                0.55419,                 0.9921,                0.99921,              0.0005743
                    129,                0.78693,                0.56168,                0.98894,                0.99961,               0.000571
                    130,                0.80867,                0.55383,                0.99289,                0.99961,              0.0005677
                    131,                0.80298,                0.55085,                0.99487,                0.99882,              0.0005644
                    132,                0.78983,                0.55364,                 0.9921,                0.99842,              0.0005611
                    133,                0.83337,                0.55837,                0.99289,                0.99842,              0.0005578
                    134,                0.80574,                 0.5551,                0.99329,                0.99842,              0.0005545
                    135,                0.81591,                0.55027,                0.99526,                0.99842,              0.0005512
                    136,                0.78966,                0.54955,                0.99408,                0.99842,              0.0005479
                    137,                0.80469,                0.55132,                0.99013,                      1,              0.0005446
                    138,                0.79894,                0.54538,                0.99605,                0.99921,              0.0005413
                    139,                0.77842,                0.54742,                0.99447,                0.99961,               0.000538
                    140,                0.79294,                0.55013,                0.99289,                0.99961,              0.0005347
                    141,                0.80342,                0.54896,                0.99526,                0.99842,              0.0005314
                    142,                0.76407,                0.55127,                0.99408,                0.99882,              0.0005281
                    143,                0.78287,                 0.5498,                0.99289,                0.99961,              0.0005248
                    144,                0.77812,                0.55498,                0.99171,                0.99842,              0.0005215
                    145,                0.78991,                0.54804,                0.99487,                0.99882,              0.0005182
                    146,                0.78531,                 0.5446,                0.99447,                0.99842,              0.0005149
                    147,                0.76276,                0.54547,                0.99368,                0.99842,              0.0005116
                    148,                0.77523,                0.53979,                0.99684,                0.99921,              0.0005083
                    149,                0.78456,                0.54293,                0.99447,                0.99921,               0.000505
                    150,                0.78432,                0.54913,                0.99289,                0.99921,              0.0005017
                    151,                0.77909,                0.54525,                0.99368,                0.99842,              0.0004984
                    152,                0.79562,                0.54341,                0.99605,                0.99842,              0.0004951
                    153,                0.78368,                0.53997,                0.99684,                0.99842,              0.0004918
                    154,                0.76452,                0.54379,                0.99526,                0.99842,              0.0004885
                    155,                0.77753,                0.54561,                0.99447,                0.99842,              0.0004852
                    156,                0.76229,                 0.5445,                0.99605,                0.99882,              0.0004819
                    157,                0.77787,                0.53753,                0.99645,                0.99882,              0.0004786
                    158,                0.77516,                0.54079,                0.99605,                0.99882,              0.0004753
                    159,                0.76407,                0.53646,                0.99645,                0.99842,               0.000472
                    160,                0.77539,                0.53841,                0.99566,                0.99842,              0.0004687
                    161,                0.76442,                0.53753,                0.99684,                0.99921,              0.0004654
                    162,                0.77191,                0.53469,                0.99724,                0.99882,              0.0004621
                    163,                0.76205,                0.53792,                0.99684,                0.99921,              0.0004588
                    164,                0.77554,                0.53547,                0.99763,                0.99882,              0.0004555
                    165,                0.75682,                0.53635,                0.99724,                0.99921,              0.0004522
                    166,                0.76006,                0.53321,                0.99803,                0.99882,              0.0004489
                    167,                0.76975,                0.53702,                0.99724,                0.99882,              0.0004456
                    168,                0.75632,                0.53807,                0.99487,                0.99921,              0.0004423
                    169,                0.74339,                0.53499,                0.99684,                0.99921,               0.000439
                    170,                0.75091,                0.53668,                0.99763,                0.99961,              0.0004357
                    171,                0.75398,                0.53405,                0.99803,                0.99921,              0.0004324
                    172,                 0.7527,                0.53177,                0.99763,                      1,              0.0004291
