                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     86,                 1.1306,                  0.662,                0.95265,                      1,              0.0007129
                     87,                 1.1319,                0.63728,                0.96712,                      1,              0.0007096
                     88,                 1.1279,                0.65993,                0.95246,                 0.9996,              0.0007063
                     89,                 1.1351,                0.62538,                0.97385,                0.99921,               0.000703
                     90,                 1.1235,                0.64332,                0.95721,                 0.9998,              0.0006997
                     91,                 1.1352,                0.62541,                0.97445,                      1,              0.0006964
                     92,                 1.1044,                0.62612,                0.96751,                      1,              0.0006931
                     93,                 1.1172,                0.62208,                0.97662,                      1,              0.0006898
                     94,                 1.0948,                0.61382,                0.97544,                      1,              0.0006865
                     95,                 1.1066,                0.60556,                0.97682,                 0.9998,              0.0006832
                     96,                 1.0877,                0.60385,                0.98059,                      1,              0.0006799
                     97,                 1.0945,                0.60098,                0.98177,                      1,              0.0006766
                     98,                 1.0684,                0.60249,                0.97999,                      1,              0.0006733
                     99,                 1.0679,                0.59918,                0.97979,                      1,                0.00067
                    100,                 1.0728,                 0.5944,                0.98217,                      1,              0.0006667
                    101,                 1.0464,                0.58941,                0.98494,                      1,              0.0006634
                    102,                 1.0881,                0.59438,                0.98693,                 0.9996,              0.0006601
                    103,                 1.0658,                 0.5881,                0.98514,                      1,              0.0006568
                    104,                 1.0778,                0.58739,                0.98871,                      1,              0.0006535
                    105,                 1.0432,                0.58358,                0.99109,                 0.9998,              0.0006502
                    106,                 1.0562,                0.58306,                0.99049,                 0.9998,              0.0006469
                    107,                 1.0092,                0.57771,                0.99128,                 0.9996,              0.0006436
                    108,                 1.0527,                0.57811,                0.99287,                 0.9996,              0.0006403
                    109,                 1.0249,                0.57418,                0.99386,                      1,               0.000637
                    110,                 1.0206,                0.57038,                0.99445,                      1,              0.0006337
                    111,                 1.0058,                0.57058,                0.99366,                 0.9996,              0.0006304
                    112,                 1.0117,                0.57435,                0.99287,                      1,              0.0006271
                    113,                 1.0259,                0.57271,                0.99326,                      1,              0.0006238
                    114,                 1.0106,                0.56837,                0.99287,                      1,              0.0006205
                    115,                 1.0115,                0.56698,                0.99465,                      1,              0.0006172
                    116,                 1.0124,                0.56836,                0.99426,                      1,              0.0006139
                    117,                 1.0055,                 0.5664,                0.99544,                      1,              0.0006106
                    118,                0.99579,                0.56498,                0.99584,                      1,              0.0006073
                    119,                0.97101,                  0.573,                0.99703,                      1,               0.000604
                    120,                 1.0027,                0.56361,                0.99723,                 0.9996,              0.0006007
                    121,                0.98738,                0.55998,                0.99742,                      1,              0.0005974
                    122,                0.96467,                0.56117,                0.99802,                      1,              0.0005941
                    123,                0.96587,                0.55862,                0.99762,                      1,              0.0005908
                    124,                0.97594,                0.55946,                0.99742,                 0.9998,              0.0005875
                    125,                0.95906,                0.56106,                0.99703,                 0.9996,              0.0005842
                    126,                0.98077,                0.55903,                0.99703,                 0.9996,              0.0005809
                    127,                0.96555,                0.55801,                0.99742,                      1,              0.0005776
                    128,                0.94752,                0.55592,                0.99703,                 0.9998,              0.0005743
                    129,                0.95535,                0.55354,                0.99802,                 0.9996,               0.000571
                    130,                0.96481,                0.55779,                0.99742,                      1,              0.0005677
                    131,                0.95459,                0.55992,                0.99762,                 0.9996,              0.0005644
                    132,                0.95421,                0.55791,                0.99802,                 0.9996,              0.0005611
                    133,                0.93827,                 0.5567,                0.99802,                0.99941,              0.0005578
                    134,                0.95499,                0.55728,                0.99881,                 0.9996,              0.0005545
                    135,                0.93571,                0.55533,                0.99861,                 0.9998,              0.0005512
                    136,                0.94307,                 0.5548,                0.99861,                 0.9998,              0.0005479
                    137,                0.92925,                0.55338,                0.99881,                 0.9996,              0.0005446
                    138,                0.93752,                0.55357,                0.99901,                 0.9998,              0.0005413
                    139,                0.93638,                0.55213,                0.99881,                 0.9998,               0.000538
                    140,                0.92271,                0.55278,                0.99881,                0.99941,              0.0005347
                    141,                 0.9088,                0.55203,                0.99901,                 0.9996,              0.0005314
                    142,                0.90916,                0.55251,                0.99881,                0.99941,              0.0005281
                    143,                0.91817,                0.55194,                0.99881,                0.99941,              0.0005248
                    144,                 0.9193,                0.55176,                0.99881,                 0.9998,              0.0005215
                    145,                0.89731,                0.55167,                0.99921,                      1,              0.0005182
                    146,                0.89989,                0.54879,                0.99901,                 0.9998,              0.0005149
                    147,                 0.8957,                0.55028,                0.99901,                 0.9998,              0.0005116
                    148,                0.89435,                0.55268,                0.99901,                 0.9998,              0.0005083
                    149,                0.88301,                0.55272,                0.99921,                 0.9998,               0.000505
                    150,                 0.8874,                0.55196,                0.99921,                 0.9998,              0.0005017
                    151,                0.90332,                0.54975,                0.99921,                 0.9998,              0.0004984
                    152,                0.89563,                 0.5515,                0.99921,                 0.9998,              0.0004951
                    153,                0.87488,                0.54928,                0.99921,                 0.9996,              0.0004918
                    154,                0.88382,                0.54976,                0.99921,                 0.9996,              0.0004885
                    155,                0.87329,                0.54811,                0.99921,                 0.9998,              0.0004852
                    156,                0.88309,                0.54903,                0.99921,                 0.9996,              0.0004819
                    157,                0.88561,                0.54766,                0.99921,                 0.9998,              0.0004786
                    158,                0.86993,                0.54846,                0.99921,                 0.9996,              0.0004753
                    159,                0.85978,                0.55175,                0.99921,                 0.9998,               0.000472
                    160,                0.87803,                0.55047,                0.99921,                 0.9998,              0.0004687
                    161,                0.87296,                0.55038,                0.99921,                 0.9998,              0.0004654
                    162,                0.85323,                 0.5505,                0.99921,                 0.9998,              0.0004621
                    163,                0.86504,                0.54713,                0.99921,                 0.9998,              0.0004588
                    164,                0.85526,                0.54839,                0.99921,                 0.9998,              0.0004555
                    165,                0.86108,                0.54831,                0.99921,                 0.9998,              0.0004522
                    166,                0.85823,                0.54741,                0.99921,                 0.9998,              0.0004489
                    167,                0.85823,                  0.547,                0.99921,                 0.9996,              0.0004456
                    168,                0.85144,                0.54654,                0.99921,                 0.9996,              0.0004423
                    169,                0.86633,                0.54597,                0.99921,                 0.9996,               0.000439
                    170,                0.84942,                0.54528,                0.99921,                 0.9996,              0.0004357
                    171,                0.82567,                0.54545,                0.99921,                 0.9998,              0.0004324
                    172,                0.84972,                0.54473,                0.99921,                 0.9998,              0.0004291
                    173,                0.85036,                0.54561,                0.99921,                 0.9998,              0.0004258
                    174,                0.82492,                0.54646,                0.99921,                 0.9998,              0.0004225
                    175,                0.83134,                0.54678,                0.99921,                 0.9998,              0.0004192
                    176,                0.82755,                0.54506,                0.99921,                 0.9998,              0.0004159
